DataSet: elecNormNew - Accuracy
Instance,    ECDD,     DDM,    EDDM,     ARF
 26000.0,   67.30,   53.53,   51.53,   51.31
 27000.0,   61.00,   61.28,   48.90,   58.44
 28000.0,   68.83,   68.80,   66.56,   71.05
 29000.0,   64.66,   68.60,   68.82,   72.27
 30000.0,   66.30,   69.47,   70.90,   74.38
 31000.0,   66.12,   69.72,   70.14,   74.97
 32000.0,   72.00,   71.54,   72.44,   74.85
 33000.0,   67.65,   71.15,   73.36,   74.68
 34000.0,   61.37,   68.44,   71.06,   72.16
 35000.0,   66.43,   69.55,   71.75,   73.77
 36000.0,   72.98,   75.04,   76.31,   77.36
 37000.0,   61.14,   72.07,   74.20,   75.70
 38000.0,   62.55,   58.91,   58.78,   59.43
 39000.0,   67.33,   58.92,   54.81,   66.04
 40000.0,   70.04,   60.99,   69.79,   72.73
 41000.0,   65.18,   67.35,   69.75,   73.35
 42000.0,   69.15,   71.12,   73.82,   75.73
 43000.0,   67.86,   71.83,   72.69,   76.96
 44000.0,   65.46,   67.12,   70.36,   73.02
 45000.0,   73.72,   69.37,   73.80,   74.89
 46000.0,   70.32,   71.02,   75.40,   77.47
 47000.0,   71.33,   73.29,   78.43,   78.71
 48000.0,   73.61,   73.59,   78.80,   80.04
 49000.0,   64.84,   70.42,   75.34,   76.42
 50000.0,   73.10,   74.99,   79.75,   80.94
DataSet: weather - Accuracy
Instance,    ECDD,     DDM,    EDDM,     ARF
  1000.0,   73.25,   72.21,   73.68,   72.82
  2000.0,   76.22,   74.33,   75.98,   78.13
  3000.0,   74.06,   73.75,   73.97,   79.99
  4000.0,   73.52,   71.40,   73.80,   77.42
  5000.0,   71.94,   71.64,   72.20,   78.02
  6000.0,   71.63,   70.99,   72.20,   78.11
  7000.0,   74.23,   71.95,   74.87,   81.12
  8000.0,   69.78,   68.13,   68.06,   76.20
  9000.0,   73.19,   73.06,   72.56,   78.35
 10000.0,   73.24,   72.73,   73.43,   79.31
 11000.0,   74.72,   72.89,   75.25,   81.03
 12000.0,   73.81,   70.13,   74.44,   80.61
 13000.0,   71.06,   72.55,   70.21,   78.61
 14000.0,   70.28,   71.65,   71.81,   76.07
 15000.0,   75.31,   71.26,   75.65,   80.29
 16000.0,   71.95,   71.02,   72.28,   78.32
 17000.0,   72.27,   65.74,   70.28,   79.64
 18000.0,   69.43,   65.60,   68.96,   75.96
 18159.0,   69.46,   62.20,   68.31,   75.23
DataSet: weather - Kappa M
Instances,    ECDD,     DDM,    EDDM,     ARF
  1000.0,   17.94,   14.75,   19.26,   16.63
  2000.0,   12.89,    5.97,   12.01,   19.89
  3000.0,    3.21,    2.05,    2.87,   25.34
  4000.0,   15.40,    8.63,   16.29,   27.86
  5000.0,    8.30,    7.32,    9.15,   28.17
  6000.0,    6.68,    4.57,    8.55,   27.99
  7000.0,    9.90,    1.92,   12.13,   33.99
  8000.0,    5.56,    0.41,    0.19,   25.62
  9000.0,   15.96,   15.55,   13.98,   32.13
 10000.0,    7.08,    5.31,    7.74,   28.16
 11000.0,    4.60,   -2.30,    6.60,   28.42
 12000.0,   -1.91,  -16.23,    0.54,   24.55
 13000.0,   13.35,   17.81,   10.81,   35.96
 14000.0,   24.57,   28.05,   28.45,   39.26
 15000.0,   20.35,    7.29,   21.45,   36.42
 16000.0,   29.52,   27.19,   30.35,   45.53
 17000.0,   16.22,   -3.50,   10.21,   38.49
 18000.0,   17.82,    7.53,   16.56,   35.38
 18159.0,   16.56,   -3.28,   13.42,   32.32
DataSet: weather - Kappa T
Instances,    ECDD,     DDM,    EDDM,     ARF
  1000.0,   17.94,   14.75,   19.26,   16.63
  2000.0,   24.75,   18.77,   23.99,   30.79
  3000.0,   11.77,   10.71,   11.46,   31.94
